medium,description,name,bigg,vmh,modelseed,flux
FT,Fermentation test medium,Molybdate,mobd,mobd,cpd11574,0.01
FT,Fermentation test medium,Siroheme,sheme,sheme,cpd00557,0.01
FT,Fermentation test medium,CO2,co2,co2,cpd00011,0.1
FT,Fermentation test medium,AMP,amp,amp,cpd00018,0.1
FT,Fermentation test medium,L-Glutamate,glu__L,glu_L,cpd00023,0.1
FT,Fermentation test medium,Heme,pheme,pheme,cpd00028,0.1
FT,Fermentation test medium,Glycine,gly,gly,cpd00033,0.1
FT,Fermentation test medium,L-Lysine,lys__L,lys_L,cpd00039,0.1
FT,Fermentation test medium,L-Aspartate,asp__L,asp_L,cpd00041,0.1
FT,Fermentation test medium,CMP,cmp,cmp,cpd00046,0.1
FT,Fermentation test medium,L-Arginine,arg__L,arg_L,cpd00051,0.1
FT,Fermentation test medium,L-Serine,ser__L,ser_L,cpd00054,0.1
FT,Fermentation test medium,L-Methionine,met__L,met_L,cpd00060,0.1
FT,Fermentation test medium,L-Tryptophan,trp__L,trp_L,cpd00065,0.1
FT,Fermentation test medium,L-Phenylalanine,phe__L,phe_L,cpd00066,0.1
FT,Fermentation test medium,H+,h,h,cpd00067,0.1
FT,Fermentation test medium,L-Tyrosine,tyr__L,tyr_L,cpd00069,0.1
FT,Fermentation test medium,L-Cysteine,cys__L,cys_L,cpd00084,0.1
FT,Fermentation test medium,UMP,ump,ump,cpd00091,0.1
FT,Fermentation test medium,Uracil,ura,ura,cpd00092,0.1
FT,Fermentation test medium,L-Leucine,leu__L,leu_L,cpd00107,0.1
FT,Fermentation test medium,L-Histidine,his__L,his_L,cpd00119,0.1
FT,Fermentation test medium,GMP,gmp,gmp,cpd00126,0.1
FT,Fermentation test medium,L-Proline,pro__L,pro_L,cpd00129,0.1
FT,Fermentation test medium,L-Valine,val__L,val_L,cpd00156,0.1
FT,Fermentation test medium,L-Threonine,thr__L,thr_L,cpd00161,0.1
FT,Fermentation test medium,Adenosine,adn,adn,cpd00182,0.1
FT,Fermentation test medium,Thymidine,thymd,thymd,cpd00184,0.1
FT,Fermentation test medium,Pyridoxal,pydx,pydx,cpd00215,0.1
FT,Fermentation test medium,Niacin,nac,nac,cpd00218,0.1
FT,Fermentation test medium,Riboflavin,ribflv,ribflv,cpd00220,0.1
FT,Fermentation test medium,HYXN,hxan,hxan,cpd00226,0.1
FT,Fermentation test medium,H2S,h2s,h2s,cpd00239,0.1
FT,Fermentation test medium,Inosine,ins,ins,cpd00246,0.1
FT,Fermentation test medium,Uridine,uri,uri,cpd00249,0.1
FT,Fermentation test medium,Thiamine,thm,thm,cpd00305,0.1
FT,Fermentation test medium,Guanosine,gsn,gsn,cpd00311,0.1
FT,Fermentation test medium,L-Isoleucine,ile__L,ile_L,cpd00322,0.1
FT,Fermentation test medium,Folate,fol,fol,cpd00393,0.1
FT,Fermentation test medium,Deoxyadenosine,dad_2,dad_2,cpd00438,0.1
FT,Fermentation test medium,Lipoate,lipoate,lipoate,cpd00541,0.1
FT,Fermentation test medium,PAN,pant__R,pant_R,cpd00644,0.1
FT,Fermentation test medium,Deoxycytidine,dcyt,dcyt,cpd00654,0.1
FT,Fermentation test medium,Vitamin B12,cbl1,cbl1,cpd03424,0.1
FT,Fermentation test medium,L-Alanine,ala__L,ala_L,cpd00035,0.5
FT,Fermentation test medium,fe3,fe3,fe3,cpd10516,0.5
FT,Fermentation test medium,Sulfate,so4,so4,cpd00048,1
FT,Fermentation test medium,LACT,lcts,lcts,cpd00208,1.5
FT,Fermentation test medium,D-Glucose,glc__D,glc_D,cpd00027,3
FT,Fermentation test medium,H2O,h2o,h2o,cpd00001,100
FT,Fermentation test medium,Phosphate,pi,pi,cpd00009,100
FT,Fermentation test medium,NH3,nh4,nh4,cpd00013,100
FT,Fermentation test medium,Mn2+,mn2,mn2,cpd00030,100
FT,Fermentation test medium,Zn2+,zn2,zn2,cpd00034,100
FT,Fermentation test medium,Cu2+,cu2,cu2,cpd00058,100
FT,Fermentation test medium,Ca2+,ca2,ca2,cpd00063,100
FT,Fermentation test medium,Cl-,cl,cl,cpd00099,100
FT,Fermentation test medium,Co2+,cobalt2,cobalt2,cpd00149,100
FT,Fermentation test medium,K+,k,k,cpd00205,100
FT,Fermentation test medium,Mg,mg2,mg2,cpd00254,100
FT,Fermentation test medium,Hg2+,hg2,hg2,cpd00531,100
FT,Fermentation test medium,Na+,na1,na1,cpd00971,100
FT,Fermentation test medium,Cd2+,cd2,cd2,cpd01012,100
FT,Fermentation test medium,Arsenate,aso4,aso4,cpd01048,100
FT,Fermentation test medium,Fe2+,fe2,fe2,cpd10515,100
FT,Fermentation test medium,chromate,cro4,cro4,cpd11595,100
